SVCOXFC01V
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
48,oxcldm86c_oxcaps80-d1,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C7000000000000043,0,1,empty,0,no,0
49,oxcldm86c_oxcaps80-d2,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C7000000000000044,0,1,empty,0,no,0
50,oxcldm86c_oxcaps80-d3,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C7000000000000045,0,1,empty,0,no,0
51,oxcldm86c_oxdora77_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000050,0,1,not_empty,0,no,0
52,oxcldm86c_oxdora77-d1,0,iogrp1,online,0,T1-XIV10_MDG1,72.00GB,striped,,,,,600507680181072C7000000000000047,0,1,empty,0,no,0
53,oxcldm86c_oxdora77-d2,0,iogrp1,online,0,T1-XIV10_MDG1,120.00GB,striped,,,,,600507680181072C7000000000000048,0,1,empty,0,no,0
54,oxcldm86c_oxdora77-d3,0,iogrp1,online,0,T1-XIV10_MDG1,120.00GB,striped,,,,,600507680181072C7000000000000049,0,1,empty,0,no,0
55,oxcldm86c_oxdora77-d4,0,iogrp1,online,0,T1-XIV10_MDG1,120.00GB,striped,,,,,600507680181072C700000000000004A,0,1,empty,0,no,0
56,oxcldm86c_oxdora77-d5,0,iogrp1,online,0,T1-XIV10_MDG1,120.00GB,striped,,,,,600507680181072C700000000000004B,0,1,empty,0,no,0
57,oxcldm86c_oxdora77-d6,0,iogrp1,online,0,T1-XIV10_MDG1,120.00GB,striped,,,,,600507680181072C700000000000004C,0,1,empty,0,no,0
58,oxcldm86c_oxdora77-d7,0,iogrp1,online,0,T1-XIV10_MDG1,25.00GB,striped,,,,,600507680181072C700000000000004D,0,1,empty,0,no,0
59,oxcldm86c_oxdora77-d8,0,iogrp1,online,0,T1-XIV10_MDG1,50.00GB,striped,,,,,600507680181072C700000000000004E,0,1,empty,0,no,0
60,oxcldm86c_oxdaps61_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000051,0,1,empty,0,no,0
61,oxcldm86c_oxdaps61-d1,0,iogrp1,online,0,T1-XIV10_MDG1,280.00GB,striped,,,,,600507680181072C7000000000000052,0,1,empty,0,no,0
62,oxcldm86c_oxtora55-d4,0,iogrp1,online,0,T1-XIV10_MDG1,200.00GB,striped,,,,,600507680181072C7000000000000053,0,1,empty,0,no,0
63,oxcldm86c_oxtora55-d5,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C7000000000000054,0,1,empty,0,no,0
64,oxcldm86c_oxtora55-d6,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C7000000000000055,0,1,empty,0,no,0
65,oxcldm86c_oxtora55-d7,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C7000000000000056,0,1,empty,0,no,0
66,oxcldm86c_oxtora55-d8,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C7000000000000057,0,1,empty,0,no,0
67,oxcldm86c_oxdora55_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000058,0,1,empty,0,no,0
68,oxcldm86c_oxdora55-d1,0,iogrp1,online,0,T1-XIV10_MDG1,100.00GB,striped,,,,,600507680181072C7000000000000059,0,1,empty,0,no,0
69,oxcldm86c_oxdora55-d2,0,iogrp1,online,0,T1-XIV10_MDG1,100.00GB,striped,,,,,600507680181072C700000000000005A,0,1,empty,0,no,0
70,oxcldm86c_oxdora55-d3,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C700000000000005B,0,1,empty,0,no,0
71,oxcldm86c_oxdora55-d4,0,iogrp1,online,0,T1-XIV10_MDG1,17.00GB,striped,,,,,600507680181072C700000000000005C,0,1,empty,0,no,0
72,oxcldm86c_oxdora80_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C700000000000005D,0,1,empty,0,no,0
73,oxcldm86c_oxdora80-d1,0,iogrp1,online,0,T1-XIV10_MDG1,230.00GB,striped,,,,,600507680181072C700000000000005E,0,1,empty,0,no,0
